,city,geographic_area,share_white_x,share_black_x,share_native_american_x,share_asian_x,share_hispanic_x,share_white_y,share_black_y,share_native_american_y,share_asian_y,share_hispanic_y,median_income,percent_completed_hs,poverty_rate
3247,cape royale cdp,TX,"93,90","3,60","0,70","0,00","4,50","93,90","3,60","0,70","0,00","4,50","81250,00","97,20","4,00"
3248,carbon town,TX,"89,00","0,70","0,00","0,00","15,80","89,00","0,70","0,00","0,00","15,80","18750,00","69,50","28,80"
3249,carlsbad cdp,TX,"85,10","6,10","0,40","0,00","16,80","85,10","6,10","0,40","0,00","16,80","44722,00","76,90","7,50"
3250,carl's corner town,TX,"88,40","2,90","0,60","0,00","25,40","88,40","2,90","0,60","0,00","25,40","36250,00","72,00","22,60"
3251,carmine city,TX,"95,60","2,40","0,00","0,00","8,40","95,60","2,40","0,00","0,00","8,40","45000,00","79,20","8,50"
3252,carrizo hill cdp,TX,"89,30","0,20","0,00","0,00","95,50","89,30","0,20","0,00","0,00","95,50","61689,00","54,10","3,40"
3253,carrizo springs city,TX,"87,00","1,30","0,40","0,70","89,60","87,00","1,30","0,40","0,70","89,60","38125,00","73,30","15,00"
3254,carrollton city,TX,"63,60","8,40","0,60","13,40","30,00","63,60","8,40","0,60","13,40","30,00","69368,00","85,30","9,50"
3255,carthage city,TX,"69,50","21,10","0,50","0,70","11,00","69,50","21,10","0,50","0,70","11,00","47163,00","81,70","17,60"
3256,cashion community city,TX,"91,40","1,10","1,10","3,40","4,90","91,40","1,10","1,10","3,40","4,90","48125,00","89,80","13,50"
3257,castle hills city,TX,"90,50","1,00","0,30","1,70","38,90","90,50","1,00","0,30","1,70","38,90","83333,00","89,30","8,20"
3258,castroville city,TX,"93,10","0,50","0,60","0,70","37,90","93,10","0,50","0,60","0,70","37,90","55500,00","83,00","14,70"
3259,cedar hill city,TX,"35,40","51,90","0,50","2,00","18,70","35,40","51,90","0,50","2,00","18,70","67669,00","91,70","11,80"
3260,cedar park city,TX,"81,40","4,30","0,50","5,10","19,00","81,40","4,30","0,50","5,10","19,00","82311,00","95,50","4,90"
3261,cedar point cdp,TX,"95,10","2,50","0,30","0,50","5,70","95,10","2,50","0,30","0,50","5,70","65611,00","88,10","0,00"
3262,celeste city,TX,"92,80","3,20","0,40","0,50","4,80","92,80","3,20","0,40","0,50","4,80","39706,00","87,40","21,70"
3263,celina city,TX,"86,90","4,00","1,00","0,60","20,50","86,90","4,00","1,00","0,60","20,50","91506,00","95,60","12,10"
3264,center city,TX,"45,80","33,10","0,30","0,80","26,10","45,80","33,10","0,30","0,80","26,10","26696,00","70,80","19,80"
3265,centerville city,TX,"77,70","15,10","0,20","0,30","6,20","77,70","15,10","0,20","0,30","6,20","39063,00","79,40","19,50"
3266,central gardens cdp,TX,"92,50","0,80","0,50","1,70","8,90","92,50","0,80","0,50","1,70","8,90","66736,00","93,40","5,70"
3267,chandler city,TX,"86,70","9,30","0,50","1,10","2,70","86,70","9,30","0,50","1,10","2,70","59583,00","94,00","8,60"
3268,channelview cdp,TX,"55,90","15,30","0,80","1,60","60,30","55,90","15,30","0,80","1,60","60,30","51745,00","68,40","21,20"
3269,channing city,TX,"92,00","0,00","0,60","1,70","11,80","92,00","0,00","0,60","1,70","11,80","31000,00","94,80","20,30"
3270,charlotte city,TX,"82,90","1,60","1,10","0,10","75,10","82,90","1,60","1,10","0,10","75,10","31985,00","56,50","26,50"
3271,chester town,TX,"95,80","1,30","0,30","0,00","3,80","95,80","1,30","0,30","0,00","3,80","37375,00","82,90","29,70"
3272,chico city,TX,"91,50","0,10","0,70","0,10","13,10","91,50","0,10","0,70","0,10","13,10","47833,00","81,20","22,30"
3273,childress city,TX,"80,00","11,40","0,50","0,80","29,80","80,00","11,40","0,50","0,80","29,80","33934,00","87,60","23,20"
3274,chillicothe city,TX,"86,80","4,20","0,70","0,40","29,60","86,80","4,20","0,70","0,40","29,60","46719,00","64,20","14,40"
3275,chilton cdp,TX,"41,60","9,50","1,50","0,20","59,50","41,60","9,50","1,50","0,20","59,50","26146,00","50,60","27,30"
3276,china city,TX,"75,40","20,60","0,20","0,10","5,70","75,40","20,60","0,20","0,10","5,70","39861,00","86,50","22,70"
3277,china grove town,TX,"84,20","6,20","0,80","0,30","34,40","84,20","6,20","0,80","0,30","34,40","91250,00","90,90","3,10"
3278,china spring cdp,TX,"93,20","0,90","1,70","0,00","14,90","93,20","0,90","1,70","0,00","14,90","48618,00","83,10","22,80"
3279,chireno city,TX,"75,90","14,20","0,00","0,00","11,10","75,90","14,20","0,00","0,00","11,10","38750,00","75,70","26,50"
3280,christine town,TX,"89,20","0,00","0,00","0,30","74,40","89,20","0,00","0,00","0,30","74,40","41071,00","69,40","21,20"
3281,christoval cdp,TX,"91,50","0,20","0,20","0,60","19,20","91,50","0,20","0,20","0,60","19,20","25083,00","73,40","27,20"
3282,chula vista cdp (maverick county),TX,"97,40","0,50","0,40","0,00","97,50","97,40","0,50","0,40","0,00","97,50","19583,00","33,40","34,30"
3283,chula vista cdp (zavala county),TX,"87,30","0,00","0,00","0,00","98,20","87,30","0,00","0,00","0,00","98,20","19000,00","46,90","89,00"
3284,cibolo city,TX,"73,50","13,90","0,50","3,00","23,60","73,50","13,90","0,50","3,00","23,60","90665,00","95,40","3,90"
3285,cienegas terrace cdp,TX,"83,30","0,90","0,40","0,10","96,10","83,30","0,90","0,40","0,10","96,10","41645,00","43,80","29,30"
3286,cinco ranch cdp,TX,"78,40","3,60","0,40","13,00","12,90","78,40","3,60","0,40","13,00","12,90","135507,00","98,20","1,50"
3287,circle d-kc estates cdp,TX,"89,10","1,60","1,00","0,10","17,60","89,10","1,60","1,00","0,10","17,60","54199,00","80,30","21,40"
3288,cisco city,TX,"90,00","3,40","1,20","0,50","13,20","90,00","3,40","1,20","0,50","13,20","31009,00","80,70","27,30"
3289,citrus city cdp,TX,"88,50","0,30","0,00","0,00","87,30","88,50","0,30","0,00","0,00","87,30","17021,00","25,00","86,70"
3290,clarendon city,TX,"86,70","7,90","0,40","0,40","9,20","86,70","7,90","0,40","0,40","9,20","34063,00","83,40","20,50"
3291,clarksville city,TX,"43,60","48,10","0,70","0,40","9,60","43,60","48,10","0,70","0,40","9,60","19564,00","77,00","25,40"
3292,clarksville city city,TX,"87,20","3,80","0,90","0,00","8,60","87,20","3,80","0,90","0,00","8,60","51364,00","86,00","11,80"
3293,claude city,TX,"92,60","0,30","0,80","0,00","7,60","92,60","0,30","0,80","0,00","7,60","60069,00","87,60","7,80"
3294,clear lake shores city,TX,"95,90","1,10","0,20","0,80","7,60","95,90","1,10","0,20","0,80","7,60","97500,00","98,50","3,70"
3295,cleburne city,TX,"82,30","4,40","0,70","0,50","27,10","82,30","4,40","0,70","0,50","27,10","48059,00","77,50","18,70"
3296,cleveland city,TX,"59,10","24,00","0,60","1,30","27,80","59,10","24,00","0,60","1,30","27,80","29868,00","71,60","28,00"
3297,clifton city,TX,"80,00","3,30","0,60","0,70","27,00","80,00","3,30","0,60","0,70","27,00","38576,00","76,90","16,20"
3298,clint town,TX,"95,80","0,30","1,00","0,10","89,80","95,80","0,30","1,00","0,10","89,80","33542,00","74,90","31,00"
3299,cloverleaf cdp,TX,"61,20","10,50","0,90","1,20","68,20","61,20","10,50","0,90","1,20","68,20","40622,00","60,00","28,20"
3300,clute city,TX,"69,20","10,50","0,90","0,70","53,60","69,20","10,50","0,90","0,70","53,60","45307,00","73,70","19,30"
3301,clyde city,TX,"95,60","0,40","0,60","0,40","6,80","95,60","0,40","0,60","0,40","6,80","44005,00","88,80","22,80"
3302,coahoma town,TX,"88,10","0,50","1,10","0,10","29,30","88,10","0,50","1,10","0,10","29,30","67647,00","88,10","10,60"
3303,cockrell hill city,TX,"66,60","1,50","0,80","0,50","90,70","66,60","1,50","0,80","0,50","90,70","37865,00","49,60","24,00"
3304,coffee city town,TX,"59,00","36,00","0,00","0,00","9,40","59,00","36,00","0,00","0,00","9,40","46250,00","85,20","13,30"
3305,coldspring city,TX,"66,10","29,20","0,00","2,00","2,80","66,10","29,20","0,00","2,00","2,80","36750,00","75,10","20,10"
3306,coleman city,TX,"86,00","3,00","0,70","0,60","18,90","86,00","3,00","0,70","0,60","18,90","30000,00","79,90","24,00"
3307,college station city,TX,"77,20","6,80","0,40","9,10","14,00","77,20","6,80","0,40","9,10","14,00","34186,00","93,60","34,70"
3308,colleyville city,TX,"88,90","2,00","0,50","5,90","5,10","88,90","2,00","0,50","5,90","5,10","152310,00","98,30","1,90"
3309,collinsville town,TX,"92,90","0,90","0,50","0,50","6,20","92,90","0,90","0,50","0,50","6,20","50481,00","87,80","4,30"
3310,colmesneil city,TX,"90,10","7,60","0,00","0,30","3,40","90,10","7,60","0,00","0,30","3,40","41813,00","90,70","9,90"
3311,colorado city city,TX,"79,20","5,10","1,10","0,20","43,20","79,20","5,10","1,10","0,20","43,20","48205,00","70,60","12,90"
3312,columbus city,TX,"69,00","17,90","0,60","0,50","24,30","69,00","17,90","0,60","0,50","24,30","39505,00","80,70","11,60"
3313,comanche city,TX,"86,00","0,40","0,80","0,30","35,80","86,00","0,40","0,80","0,30","35,80","32075,00","67,10","29,30"
3314,combes town,TX,"83,40","0,50","0,60","0,30","77,60","83,40","0,50","0,60","0,30","77,60","35968,00","67,00","26,50"
3315,combine city,TX,"91,60","0,90","0,90","0,30","11,20","91,60","0,90","0,90","0,30","11,20","68224,00","75,00","16,20"
3316,comfort cdp,TX,"72,80","0,60","1,30","0,20","54,40","72,80","0,60","1,30","0,20","54,40","56912,00","71,30","23,20"
3317,commerce city,TX,"64,50","21,60","0,80","5,00","11,10","64,50","21,60","0,80","5,00","11,10","21836,00","79,00","46,00"
3318,como town,TX,"77,40","1,10","1,30","0,30","26,90","77,40","1,10","1,30","0,30","26,90","32179,00","75,20","21,60"
3319,concepcion cdp,TX,"88,70","0,00","0,00","0,00","100,00","88,70","0,00","0,00","0,00","100,00","14167,00","53,80","17,90"
3320,conroe city,TX,"69,70","10,30","1,20","1,80","38,50","69,70","10,30","1,20","1,80","38,50","47680,00","75,00","19,30"
3321,converse city,TX,"61,80","21,10","0,70","2,40","37,70","61,80","21,10","0,70","2,40","37,70","62481,00","87,40","10,90"
3322,cool city,TX,"96,20","0,00","0,60","0,00","14,00","96,20","0,00","0,60","0,00","14,00","41250,00","77,70","20,30"
3323,coolidge town,TX,"52,00","20,40","1,70","0,00","43,00","52,00","20,40","1,70","0,00","43,00","29861,00","55,20","31,90"
3324,cooper city,TX,"77,20","14,80","1,20","1,10","6,10","77,20","14,80","1,20","1,10","6,10","26643,00","75,70","37,10"
3325,coppell city,TX,"73,80","4,50","0,40","15,90","11,30","73,80","4,50","0,40","15,90","11,30","111817,00","96,60","4,80"
3326,copperas cove city,TX,"66,20","18,00","0,90","3,00","15,00","66,20","18,00","0,90","3,00","15,00","51972,00","93,40","11,90"
3327,copper canyon town,TX,"93,30","2,00","1,40","1,70","4,60","93,30","2,00","1,40","1,70","4,60","133750,00","95,20","2,00"
3328,corinth city,TX,"84,70","5,70","0,80","2,70","11,80","84,70","5,70","0,80","2,70","11,80","90505,00","96,30","6,20"
3329,corpus christi city,TX,"80,90","4,30","0,60","1,80","59,70","80,90","4,30","0,60","1,80","59,70","50658,00","81,40","17,50"
3330,corrigan town,TX,"40,80","42,20","0,10","0,20","22,60","40,80","42,20","0,10","0,20","22,60","29385,00","71,40","23,10"
3331,corsicana city,TX,"58,10","20,90","0,60","0,70","31,10","58,10","20,90","0,60","0,70","31,10","38734,00","75,10","23,80"
3332,cottonwood city,TX,"94,60","3,80","0,50","0,00","5,90","94,60","3,80","0,50","0,00","5,90","56250,00","89,60","8,60"
3333,cottonwood shores city,TX,"82,10","1,20","0,60","0,60","28,40","82,10","1,20","0,60","0,60","28,40","45391,00","82,90","13,30"
3334,cotulla city,TX,"87,40","0,60","0,40","0,20","87,30","87,40","0,60","0,40","0,20","87,30","34167,00","61,10","18,50"
3335,cove city,TX,"90,60","1,80","0,80","0,40","7,10","90,60","1,80","0,80","0,40","7,10","64844,00","92,90","6,70"
3336,covington city,TX,"93,70","0,00","1,90","0,40","9,30","93,70","0,00","1,90","0,40","9,30","41250,00","82,20","22,50"
3337,coyanosa cdp,TX,"69,90","0,00","0,00","0,00","97,50","69,90","0,00","0,00","0,00","97,50","42875,00","22,50","16,60"
3338,crandall city,TX,"91,70","3,70","0,30","0,70","7,20","91,70","3,70","0,30","0,70","7,20","64615,00","88,30","6,00"
3339,crane city,TX,"72,60","3,10","1,00","0,30","57,00","72,60","3,10","1,00","0,30","57,00","58803,00","72,20","11,80"
3340,cranfills gap city,TX,"91,10","0,00","0,40","0,00","16,00","91,10","0,00","0,40","0,00","16,00","29375,00","68,80","22,30"
3341,crawford town,TX,"90,50","4,30","0,40","0,00","7,90","90,50","4,30","0,40","0,00","7,90","55536,00","91,30","18,50"
3342,creedmoor city,TX,"69,30","0,00","1,00","0,00","56,40","69,30","0,00","1,00","0,00","56,40","41250,00","64,70","17,50"
3343,cresson city,TX,"93,50","1,10","0,50","0,30","7,70","93,50","1,10","0,50","0,30","7,70","63750,00","94,70","20,50"
3344,crockett city,TX,"46,60","43,00","0,40","0,90","16,20","46,60","43,00","0,40","0,90","16,20","23106,00","77,60","39,10"
3345,crosby cdp,TX,"68,60","6,00","0,70","0,60","34,40","68,60","6,00","0,70","0,60","34,40","46413,00","77,70","26,80"
3346,crosbyton city,TX,"80,90","5,70","0,20","0,00","56,30","80,90","5,70","0,20","0,00","56,30","33462,00","70,40","34,00"
3347,cross mountain cdp,TX,"85,20","3,30","0,40","2,70","28,10","85,20","3,30","0,40","2,70","28,10","149145,00","98,70","4,20"
3348,cross plains town,TX,"96,50","0,10","0,50","0,00","5,40","96,50","0,10","0,50","0,00","5,40","30398,00","78,70","24,50"
3349,cross roads town,TX,"86,30","7,70","0,30","1,70","13,40","86,30","7,70","0,30","1,70","13,40","114583,00","93,70","1,90"
3350,cross timber town,TX,"95,10","0,00","1,90","0,00","9,30","95,10","0,00","1,90","0,00","9,30","90625,00","90,40","4,50"
3351,crowell city,TX,"89,90","4,50","0,20","0,40","14,30","89,90","4,50","0,20","0,40","14,30","26583,00","76,40","15,10"
3352,crowley city,TX,"76,50","13,30","0,80","1,50","15,20","76,50","13,30","0,80","1,50","15,20","63038,00","88,80","10,70"
3353,crystal city city,TX,"88,30","0,80","0,40","0,00","97,10","88,30","0,80","0,40","0,00","97,10","28722,00","61,10","31,70"
3354,cuero city,TX,"68,60","15,20","0,60","0,40","39,90","68,60","15,20","0,60","0,40","39,90","37000,00","78,30","19,20"
3355,cumby city,TX,"93,60","0,60","1,20","0,10","5,70","93,60","0,60","1,20","0,10","5,70","50417,00","87,30","15,50"
3356,cumings cdp,TX,"69,30","6,80","1,10","0,60","68,70","69,30","6,80","1,10","0,60","68,70","85188,00","93,20","0,00"
3357,cuney town,TX,"12,10","72,90","0,00","0,00","12,10","12,10","72,90","0,00","0,00","12,10","10694,00","82,10","85,20"
3358,cushing city,TX,"92,20","1,60","1,00","1,80","3,90","92,20","1,60","1,00","1,80","3,90","41250,00","87,50","15,30"
3359,cut and shoot city,TX,"87,20","1,00","0,80","0,20","15,00","87,20","1,00","0,80","0,20","15,00","61579,00","71,40","10,70"
3360,daingerfield city,TX,"61,40","28,60","0,50","0,20","13,00","61,40","28,60","0,50","0,20","13,00","37564,00","79,60","19,00"
3361,daisetta city,TX,"91,50","3,20","0,30","0,50","5,50","91,50","3,20","0,30","0,50","5,50","47639,00","76,70","6,20"
3362,dalhart city,TX,"84,00","1,20","0,90","0,70","34,00","84,00","1,20","0,90","0,70","34,00","46214,00","79,00","14,20"
3363,dallas city,TX,"50,70","25,00","0,70","2,90","42,40","50,70","25,00","0,70","2,90","42,40","43781,00","74,50","24,00"
3364,dalworthington gardens city,TX,"80,90","7,60","0,70","5,10","6,70","80,90","7,60","0,70","5,10","6,70","118125,00","93,60","2,40"
3365,danbury city,TX,"89,90","0,80","0,60","0,50","13,70","89,90","0,80","0,60","0,50","13,70","65769,00","87,00","7,70"
3366,darrouzett town,TX,"92,60","0,00","2,30","0,00","16,60","92,60","0,00","2,30","0,00","16,60","58250,00","86,30","10,80"
3367,dawson town,TX,"78,70","15,70","1,00","0,00","6,40","78,70","15,70","1,00","0,00","6,40","34196,00","76,20","18,60"
3368,dayton city,TX,"70,40","18,20","0,40","1,30","15,30","70,40","18,20","0,40","1,30","15,30","50277,00","83,80","15,10"
3369,dayton lakes city,TX,"96,80","0,00","0,00","0,00","11,80","96,80","0,00","0,00","0,00","11,80","41354,00","73,30","16,50"
3370,dean city,TX,"94,70","0,60","0,80","0,00","7,70","94,70","0,60","0,80","0,00","7,70","57083,00","89,10","6,90"
3371,decatur city,TX,"85,10","1,60","0,60","0,80","30,20","85,10","1,60","0,60","0,80","30,20","46161,00","84,50","18,70"
3372,decordova city,TX,"97,70","0,10","0,70","0,40","2,30","97,70","0,10","0,70","0,40","2,30","68380,00","98,80","1,10"
3373,deer park city,TX,"86,20","1,50","0,70","1,50","26,30","86,20","1,50","0,70","1,50","26,30","77556,00","86,50","8,40"
3374,de kalb city,TX,"65,00","27,50","1,20","0,30","6,40","65,00","27,50","1,20","0,30","6,40","35926,00","85,50","18,80"
3375,de leon city,TX,"90,50","0,30","0,80","0,20","28,70","90,50","0,30","0,80","0,20","28,70","36071,00","70,10","21,50"
3376,dell city city,TX,"73,40","4,40","1,40","0,00","66,30","73,40","4,40","1,40","0,00","66,30","24135,00","51,60","49,50"
3377,del mar heights cdp,TX,"79,60","4,40","0,00","0,00","96,50","79,60","4,40","0,00","0,00","96,50","30515,00","90,70","35,70"
3378,delmita cdp,TX,"90,70","0,00","0,50","0,00","93,50","90,70","0,00","0,50","0,00","93,50","27917,00","52,90","29,60"
3379,del rio city,TX,"84,60","1,50","0,50","0,50","84,10","84,60","1,50","0,50","0,50","84,10","41001,00","66,20","21,40"
3380,del sol cdp,TX,"86,20","0,40","3,30","0,40","83,70","86,20","0,40","3,30","0,40","83,70","102813,00","49,10","0,00"
3381,denison city,TX,"82,30","9,30","2,10","0,60","8,80","82,30","9,30","2,10","0,60","8,80","37403,00","85,80","21,60"
3382,denton city,TX,"73,80","10,30","0,80","4,10","21,20","73,80","10,30","0,80","4,10","21,20","49100,00","88,80","20,60"
3383,denver city town,TX,"70,50","1,30","1,00","0,60","63,30","70,50","1,30","1,00","0,60","63,30","47706,00","70,20","15,00"
3384,deport city,TX,"92,90","1,70","1,00","0,00","4,50","92,90","1,70","1,00","0,00","4,50","42721,00","84,40","17,40"
3385,desoto city,TX,"23,20","68,60","0,40","0,90","12,10","23,20","68,60","0,40","0,90","12,10","59260,00","90,50","11,30"
3386,detroit town,TX,"83,90","11,60","1,80","0,00","2,00","83,90","11,60","1,80","0,00","2,00","24271,00","86,80","25,90"
3387,devers city,TX,"76,70","7,80","0,20","0,00","22,80","76,70","7,80","0,20","0,00","22,80","46607,00","66,40","11,10"
3388,devine city,TX,"85,40","1,00","1,00","0,20","60,00","85,40","1,00","1,00","0,20","60,00","59891,00","77,40","13,30"
3389,deweyville cdp,TX,"94,40","1,20","1,50","0,20","1,80","94,40","1,20","1,50","0,20","1,80","39310,00","93,80","3,10"
3390,d'hanis cdp,TX,"89,60","0,00","0,10","0,10","46,50","89,60","0,00","0,10","0,10","46,50","43315,00","81,20","16,20"
3391,diboll city,TX,"54,90","20,50","0,30","0,20","46,70","54,90","20,50","0,30","0,20","46,70","39699,00","69,90","21,50"
3392,dickens city,TX,"83,90","1,40","0,70","4,90","16,10","83,90","1,40","0,70","4,90","16,10","43750,00","80,40","12,80"
3393,dickinson city,TX,"70,50","11,50","0,50","1,90","32,70","70,50","11,50","0,50","1,90","32,70","68324,00","81,40","11,10"
3394,dilley city,TX,"68,10","11,40","0,60","1,10","73,30","68,10","11,40","0,60","1,10","73,30","37014,00","66,10","31,80"
3395,dimmitt city,TX,"63,70","2,50","1,10","0,50","68,80","63,70","2,50","1,10","0,50","68,80","36038,00","71,80","18,60"
3396,dish town,TX,"94,50","1,00","0,00","0,50","3,50","94,50","1,00","0,00","0,50","3,50","61071,00","81,50","3,50"
3397,dodd city town,TX,"93,00","2,70","0,30","0,00","1,90","93,00","2,70","0,30","0,00","1,90","52708,00","84,70","6,90"
3398,dodson town,TX,"61,50","0,00","1,80","0,00","48,60","61,50","0,00","1,80","0,00","48,60","25804,00","41,90","35,10"
3399,doffing cdp,TX,"98,50","0,10","0,30","0,00","96,40","98,50","0,10","0,30","0,00","96,40","26108,00","42,30","49,60"
3400,domino town,TX,"34,40","65,60","0,00","0,00","1,10","34,40","65,60","0,00","0,00","1,10","51250,00","93,80","2,90"
3401,donna city,TX,"86,40","0,40","0,30","0,20","92,30","86,40","0,40","0,30","0,20","92,30","28680,00","60,80","33,90"
3402,doolittle cdp,TX,"99,20","0,00","0,00","0,10","98,10","99,20","0,00","0,00","0,10","98,10","25167,00","40,30","50,30"
3403,double oak town,TX,"93,20","1,40","1,60","1,20","5,50","93,20","1,40","1,60","1,20","5,50","136500,00","96,90","3,90"
3404,douglassville town,TX,"79,50","17,00","0,00","0,00","3,10","79,50","17,00","0,00","0,00","3,10","29063,00","78,00","20,70"
3405,doyle cdp,TX,"83,90","0,00","3,10","0,40","43,30","83,90","0,00","3,10","0,40","43,30","155170,00","100,00","0,00"
3406,driftwood cdp,TX,"97,90","0,00","0,70","0,00","5,60","97,90","0,00","0,70","0,00","5,60","58036,00","91,60","0,00"
3407,dripping springs city,TX,"81,50","0,90","1,30","0,10","29,10","81,50","0,90","1,30","0,10","29,10","59618,00","82,00","18,50"
3408,driscoll city,TX,"80,20","0,10","1,20","0,30","83,50","80,20","0,10","1,20","0,30","83,50","35625,00","57,00","27,10"
3409,dublin city,TX,"77,00","0,70","1,40","0,40","35,30","77,00","0,70","1,40","0,40","35,30","40435,00","75,30","26,60"
3410,dumas city,TX,"74,90","2,00","0,90","4,70","50,50","74,90","2,00","0,90","4,70","50,50","49798,00","67,60","21,60"
3411,duncanville city,TX,"50,40","29,80","0,70","1,70","35,00","50,40","29,80","0,70","1,70","35,00","53750,00","83,30","12,70"
3412,eagle lake city,TX,"58,10","22,70","1,10","0,10","54,70","58,10","22,70","1,10","0,10","54,70","40227,00","75,40","26,80"
3413,eagle pass city,TX,"88,10","0,30","0,40","0,60","95,50","88,10","0,30","0,40","0,60","95,50","36907,00","66,10","26,20"
3414,early city,TX,"89,50","0,80","0,80","1,70","15,10","89,50","0,80","0,80","1,70","15,10","48984,00","89,10","9,70"
3415,earth city,TX,"77,30","4,00","0,00","0,00","63,80","77,30","4,00","0,00","0,00","63,80","36429,00","63,70","17,90"
3416,east bernard city,TX,"87,80","2,60","0,00","0,40","24,70","87,80","2,60","0,00","0,40","24,70","52287,00","78,20","16,00"
3417,eastland city,TX,"88,30","2,00","0,40","0,70","18,40","88,30","2,00","0,40","0,70","18,40","33750,00","81,60","11,80"
3418,east mountain city,TX,"92,50","2,80","0,80","0,40","4,40","92,50","2,80","0,80","0,40","4,40","50787,00","83,90","13,10"
3419,easton city,TX,"18,60","60,60","0,60","1,40","27,10","18,60","60,60","0,60","1,40","27,10","38472,00","73,50","16,20"
3420,east tawakoni city,TX,"94,20","0,60","0,90","2,20","4,90","94,20","0,60","0,90","2,20","4,90","40104,00","79,60","16,40"
3421,ector city,TX,"93,40","0,70","0,90","1,20","3,70","93,40","0,70","0,90","1,20","3,70","34423,00","80,50","23,50"
3422,edcouch city,TX,"86,70","0,30","0,30","0,00","97,80","86,70","0,30","0,30","0,00","97,80","26033,00","47,70","39,00"
3423,eden city,TX,"85,90","2,70","0,30","0,40","68,50","85,90","2,70","0,30","0,40","68,50","40817,00","54,20","4,20"
3424,edgecliff village town,TX,"72,60","12,20","0,60","2,40","26,30","72,60","12,20","0,60","2,40","26,30","69485,00","92,00","11,50"
3425,edgewater estates cdp,TX,"95,80","4,20","0,00","0,00","75,00","95,80","4,20","0,00","0,00","75,00","31083,00","19,60","0,00"
3426,edgewood town,TX,"84,90","9,60","0,60","0,10","7,10","84,90","9,60","0,60","0,10","7,10","29803,00","78,60","21,80"
3427,edinburg city,TX,"85,30","1,60","0,40","2,20","88,20","85,30","1,60","0,40","2,20","88,20","43346,00","77,70","27,70"
3428,edna city,TX,"72,70","14,70","0,50","0,50","34,00","72,70","14,70","0,50","0,50","34,00","50647,00","73,50","16,80"
3429,edom city,TX,"87,70","0,00","0,30","0,00","16,30","87,70","0,00","0,30","0,00","16,30","57188,00","78,40","10,40"
3430,edroy cdp,TX,"96,70","0,90","0,00","0,00","80,10","96,70","0,90","0,00","0,00","80,10","30952,00","65,30","12,10"
3431,eidson road cdp,TX,"98,90","0,10","0,50","0,00","98,90","98,90","0,10","0,50","0,00","98,90","32332,00","48,70","20,40"
3432,el camino angosto cdp,TX,"81,80","0,00","0,00","0,40","94,90","81,80","0,00","0,00","0,40","94,90","107857,00","79,30","8,50"
3433,el campo city,TX,"76,10","10,90","0,30","0,50","47,00","76,10","10,90","0,30","0,50","47,00","45413,00","71,20","22,20"
3434,el cenizo city,TX,"95,30","0,00","0,30","0,00","99,20","95,30","0,00","0,30","0,00","99,20","20929,00","37,50","50,70"
3435,eldorado city,TX,"74,30","1,20","0,70","0,20","61,30","74,30","1,20","0,70","0,20","61,30","48125,00","70,10","14,00"
3436,electra city,TX,"85,80","5,90","0,60","0,40","13,30","85,80","5,90","0,60","0,40","13,30","36518,00","84,70","13,00"
3437,elgin city,TX,"57,10","17,30","1,00","0,50","45,70","57,10","17,30","1,00","0,50","45,70","50369,00","77,70","21,70"
3438,elkhart town,TX,"84,00","9,30","1,00","0,20","8,20","84,00","9,30","1,00","0,20","8,20","35875,00","77,70","19,40"
3439,el lago city,TX,"91,50","1,60","0,40","1,50","9,90","91,50","1,60","0,40","1,50","9,90","105972,00","95,20","7,50"
3440,elm creek cdp,TX,"94,70","0,00","0,10","0,00","98,00","94,70","0,00","0,10","0,00","98,00","34757,00","64,80","39,80"
3441,elmendorf city,TX,"79,80","1,10","1,30","0,30","64,70","79,80","1,10","1,30","0,30","64,70","47174,00","75,90","15,20"
3442,elmo cdp,TX,"89,50","3,00","0,70","0,10","10,40","89,50","3,00","0,70","0,10","10,40","45764,00","77,00","7,40"
3443,el paso city,TX,"80,80","3,40","0,70","1,20","80,70","80,80","3,40","0,70","1,20","80,70","42772,00","78,00","20,90"
3444,el quiote cdp,TX,"100,00","0,00","0,00","0,00","100,00","100,00","0,00","0,00","0,00","100,00","46050,00","19,60","15,40"
3445,elsa city,TX,"82,80","0,80","0,30","0,10","97,80","82,80","0,80","0,30","0,10","97,80","22464,00","57,90","45,80"
3446,emerald bay cdp,TX,"98,10","0,30","0,20","1,10","0,60","98,10","0,30","0,20","1,10","0,60","58000,00","94,80","20,60"
3447,emhouse town,TX,"71,40","2,30","0,00","0,00","26,30","71,40","2,30","0,00","0,00","26,30","32917,00","90,60","22,20"
3448,emory city,TX,"88,50","3,50","0,90","0,80","9,00","88,50","3,50","0,90","0,80","9,00","25625,00","81,40","19,10"
3449,encantada-ranchito-el calaboz cdp,TX,"84,10","0,30","1,10","0,30","98,20","84,10","0,30","1,10","0,30","98,20","20637,00","35,90","48,20"
3450,enchanted oaks town,TX,"95,40","0,30","1,50","0,00","7,40","95,40","0,30","1,50","0,00","7,40","73125,00","92,30","3,20"
3451,encinal city,TX,"86,40","1,10","0,50","0,00","89,60","86,40","1,10","0,50","0,00","89,60","25000,00","58,00","13,20"
3452,encino cdp,TX,"88,80","0,00","0,00","0,00","93,00","88,80","0,00","0,00","0,00","93,00","17692,00","52,50","47,20"
3453,ennis city,TX,"64,50","14,10","0,70","0,50","40,30","64,50","14,10","0,70","0,50","40,30","41305,00","74,60","25,00"
