geographic_area,city,share_white_x,share_black_x,share_native_american_x,share_asian_x,share_hispanic_x,share_white_y,share_black_y,share_native_american_y,share_asian_y,share_hispanic_y,median_income,percent_completed_hs,poverty_rate
PA,kulpmont borough,97.5,0.4,0.0,0.5,1.4,97.5,0.4,0.0,0.5,1.4,41058.0,86.7,12.7
PA,kulpsville cdp,84.9,4.6,0.1,8.0,2.3,84.9,4.6,0.1,8.0,2.3,69886.0,95.5,4.3
PA,kutztown borough,95.8,1.4,0.0,1.0,2.6,95.8,1.4,0.0,1.0,2.6,48750.0,89.5,22.4
PA,kylertown cdp,99.7,0.3,0.0,0.0,0.0,99.7,0.3,0.0,0.0,0.0,22262.0,65.6,4.2
PA,laceyville borough,94.5,0.5,0.0,0.0,7.9,94.5,0.5,0.0,0.0,7.9,43250.0,83.0,19.5
PA,laflin borough,94.8,0.0,0.0,5.0,0.5,94.8,0.0,0.0,5.0,0.5,77250.0,96.7,2.7
PA,lake arthur estates cdp,98.3,0.0,0.5,0.0,1.0,98.3,0.0,0.5,0.0,1.0,29056.0,85.3,20.9
PA,lake city borough,97.0,0.9,0.2,0.2,1.3,97.0,0.9,0.2,0.2,1.3,41571.0,91.8,12.2
PA,lake heritage cdp,96.0,0.9,0.5,1.2,2.6,96.0,0.9,0.5,1.2,2.6,95945.0,98.2,0.7
PA,lake latonka cdp,98.9,0.2,0.1,0.2,0.5,98.9,0.2,0.1,0.2,0.5,80000.0,100.0,4.4
PA,lake meade cdp,98.3,0.2,0.1,0.4,1.8,98.3,0.2,0.1,0.4,1.8,87823.0,97.6,1.1
PA,lakemont cdp,97.9,0.8,0.1,0.9,0.5,97.9,0.8,0.1,0.9,0.5,42034.0,92.5,5.8
PA,lake winola cdp,97.7,0.7,0.3,0.1,2.3,97.7,0.7,0.3,0.1,2.3,60000.0,92.3,7.9
PA,lake wynonah cdp,97.3,0.9,0.0,0.5,1.9,97.3,0.9,0.0,0.5,1.9,67100.0,94.4,3.5
PA,lamar cdp,98.4,0.0,0.2,0.2,0.5,98.4,0.0,0.2,0.2,0.5,41094.0,86.9,9.5
PA,lampeter cdp,92.9,1.5,0.1,1.4,5.9,92.9,1.5,0.1,1.4,5.9,72878.0,95.8,4.1
